text,label_ternary,label_original,dataset_name
চোখের সামনে তরতাজা বাপ বুড়ো হচ্ছে মায়ের চা মড়ায় ভাজ পরতাছে আপন মানুষের সঙ্গে দূরত্ব বাড়ছে বন্ধুরা দূরে সরে যাচ্ছে দায়িত্ব কাঁধে ভর করতেছে একা হয়ে যাচ্ছি এই হাসি এই কান্না হুটহাট মন খারাপ ডি প্রে শন বাস্তবতা শরীর থেকে ঘাম বের করছে জীবন কোথায় নিয়ে যাচ্ছে আমি জানিনা একদমই জানিনা,0,Non-Sarcastic,banglasarc3
কারন মেয়েরা ছোট থেকেই প্রতিনিয়ত প্রোপোজ পেতেই থাকে তাদের কাছে এটা অভ্যাস হয়ে যায়,0,Non-Sarcastic,banglasarc3
কেউ এক সাথে ঘুমাতে চাইলে ইনবক্স,2,Sarcastic,banglasarc3
শেষের কথা গুলো সত্য এবং অনেক মূল্যবান,1,Neutral,banglasarc3
এজন্য সুন্নতের খতনা তে অনুষ্ঠান করা ইসলামের নাজায়েজ কেও অনুষ্ঠান করে এগুলো করবেন না,0,Non-Sarcastic,banglasarc3
পুরুষ মানুষ সুযোগ পেলে কেবল মাত্র শারীরিক উত্তেজনা থেকে যেকোন নারীর দেহের কাছে যেতে পারে,1,Neutral,banglasarc3
সাকিবের ব্রেইনলেস ভক্তদের লজিক এই দেশে সবাই চোর তাই সাকিবকে আলাদা করে চোর বলার দরকার নাই,0,Non-Sarcastic,banglasarc3
ধনী হওয়ার জন্য কঠোর পরিশ্রম এবং সঠিক লক্ষ্য নির্ধারণ খুবই গুরুত্বপূর্ণ যা অনেক সফল ব্যক্তিই অনুসরণ করেন,1,Neutral,banglasarc3
মাগী অরজিনাল নাস্তিক,0,Non-Sarcastic,banglasarc3
পশ্চিমা কালচারের সাথে আমাদের কালচার মেলাচ্ছেন কেনো আপনি বা আপনারাও কি চান আমাদের বাবা মা গর্বের সাথে বলুক আমার ছেলে মেয়ে প্রেম করছে,0,Non-Sarcastic,banglasarc3
প্রাচীন পার্সিয়ানদের এমন দক্ষতা এই প্রমাণ দেয় যে তারা তখনকার দিনে অনেক কিছুই জানত যা বর্তমানে অত্যাধুনিক প্রযুক্তির মতো,1,Neutral,banglasarc3
দেশের বড় কোম্পানিগুলোর উচিত স্টার্টআপগুলোকে ন্যায্য মূল্যায়ন করা,0,Non-Sarcastic,banglasarc3
এটা মেয়ে নাকি ছেলে চিনতে পারছি না দয়া করে কেউ কি বলবেন,2,Sarcastic,banglasarc3
সাধারণ সময়ের তুলনায় তখন প্রথম ইবিআর এর শক্তি ছিল অর্ধেক এই ইবিআর কেই শীতকালীন প্রশিক্ষণের জন্য সীমান্তবর্তী চৌগাছায় পাঠানো হয় ২৯ মার্চ পর্যন্ত তারা এখানেই ছিল,1,Neutral,banglasarc3
মেয়েটির কথা বলার দক্ষতা দেখে আমি মুগ্ধ আমি অতো ভালো কথা বলতে পারি না ঠিকই কিন্তু এই মেয়েটির কথা শুনে আমি অনুপ্রাণিত হয়েছি সুস্পষ্ট উচ্চারণ সব কিছুই আমার খুব ভালো লেগেছে আমি যে কতবার তার এই মনোমুগ্ধকর কথা গুলো শুনেছি তার হিসেব নেই আমি তার অনেক বড় ভক্ত হয়ে গিয়েছি,1,Neutral,banglasarc3
যখন ফ্রিজ ছিল না তখন কুরবানীর গোস্ত গুলো মা ভাজি করে মিরছিবে রেখে দিত,0,Non-Sarcastic,banglasarc3
এই দৃশ্য দেখে অন্য দলগুলো যেন অনুভব করে তারা যেন স্বৈরাচার তোষণ না হওয়ার চেষ্টা করে আর যদি হয় তাহলে তাদের পরিণতিও এমনই হবে এর চেয়ে ভয়ঙ্কর হবে,0,Non-Sarcastic,banglasarc3
প্রকৃতির মাঝে হাঁটতে হাঁটতে জীবনের অনেক দিক সম্পর্কে নতুন উপলব্ধি পাওয়া যায়,1,Neutral,banglasarc3
এখন প্রেক্ষাপট ভিন্ন তুমরা দুই পার্টি সন্ত্রাসী একদল পরাজিত ফ্যাসিস্ট এর অনুসারী আরেকদল নতুন ফ্যাসিবাদ বন্দোবস্তের অনুসারী তুমরা দেশকে মাতাল করে রাখছো সরকারকে মৌলবাদী আর তোমরা মিলে অস্তির করে তুলছো আমার দেশকে নিয়া ফাজলামি শুরু করছো তুমরা দুই পুরাতন নতুন ফ্যাসিস্ট পার্টি ধ্বংস হও,0,Non-Sarcastic,banglasarc3
এক বক্তব্যে গদি শেষ আরেক লাইভে বাড়ি শেষ কি দরকার ছিল,2,Sarcastic,banglasarc3
কিছুদিন আগে ফ্রিজ ঠিক করতে দিয়ে প্রতারিত হইছি হেল্পলাইন এ ফোন দিয়ে অভিযোগ করেও কোনো সমাধান পাইনি তখন বলছিলাম একদিন এই রাজত্ব থাকবে না আর আজকে এই প্রতিবেদন,1,Neutral,banglasarc3
এরা ভাবতেছে এরা পৃথিবীর সব চেয়ে ক্ষমতাবান আফসোস এরা ইতিহাস থেকে শিক্ষা নিচ্ছে না এদের অবস্থা ওই জালেম শাসকদের মতোই হবে এতে কোনো সন্দেহ নেই,0,Non-Sarcastic,banglasarc3
টাকা দিয়া সব হয় টাকা ছাড়া কোন জিনিসটা হয় আমাকে কেউ বলতে পারবেন,0,Non-Sarcastic,banglasarc3
মেয়েরে নিয়ে এমন কিছু বাঙালি আসলেই,2,Sarcastic,banglasarc3
লাইফে একটাই স্বপ্ন আমার টা বাচ্চাকাচ্চা হবে আর সবার বাবা আলাদা আলাদা হবে,0,Non-Sarcastic,banglasarc3
ভাই মাত্রাটা ঠিকঠাক রাইখা তারপর খান,2,Sarcastic,banglasarc3
দুঃখজনক বিষয় হলেও আমার ভীষণ হাসি পাচ্ছে,2,Sarcastic,banglasarc3
তাকে এতো দেরিতে আটকের প্রতিবাদ জানাই কমপক্ষে আরো ৫ মাস আগে তাকে গ্রেফতার করা উচিৎ ছিলো,1,Neutral,banglasarc3
এই আর্টের আর্টিস্ট যদি ভাবি না হয় তাহলে ছেলেটার কপালে দুঃখ আছে,2,Sarcastic,banglasarc3
নিজের জীবনে কাজ শেষ করার অভ্যাস গড়ে তোলা গুরুত্বপূর্ণ কারণ এটি আমাদের আত্মবিশ্বাস বাড়ায়,1,Neutral,banglasarc3
কোনটা ছেড়ে কোনটা রাখি অসাধারণ অসাধারণ তিশার তুলনা আমার কাছে শুধুই তিশা,0,Non-Sarcastic,banglasarc3
অন্ধকারে ভয় পেয়ো না আলো আছে আড়ালে অন্ধকার পালিয়ে যাবে তুমি উঠে দাঁড়ালে,0,Non-Sarcastic,banglasarc3
যে নেত্রী নিকট আত্বীয়দের সেইফজোনে পাঠিয়ে পরবর্তীতে দলের মানুষের কথা দেশের মানুষের কথা ভুলে নিজেও পালিয়ে গেলো সেই নেত্রীকে সেই দলকে বহিষ্কার করার কথা তো তাদের দল থেকেই আওয়াজ উঠা উচিৎ ছিল আল্লাহ তাদের বুঝ দাও আমিন,0,Non-Sarcastic,banglasarc3
একদম বলিউড স্টাইলে গল্পটা বানানো হইছে সামনে এটা নিয়ে সিনেমা ও করা হবে,2,Sarcastic,banglasarc3
জীবনে আরেকটা পতন দেখার ইচ্ছে ইনশাআল্লাহ আমার রব আমার ইচ্ছে পূরণ করবেন,1,Neutral,banglasarc3
আসলে আমার জন্য বিপদ,0,Non-Sarcastic,banglasarc3
আমাদের জীবনে অনেক কাজ অসমাপ্ত থাকে কিন্তু পরিকল্পনা সময় এবং সঠিক মনোভাব নিয়ে সেটা শেষ করা যায়,1,Neutral,banglasarc3
একটা উপায় আছে বিএনপি নির্বাচন এর জন্য হরতাল ডাকবে আওয়ামী তাদের সাথে মিশে হরতাল ডাকবে এ ছাড়া আর কোনো উপায় তাদের নাই,1,Neutral,banglasarc3
টাকা আজব জিনিস রে পাগলেও টাকা চিনে তার দোষ দিয়ে কি লাভ,2,Sarcastic,banglasarc3
বলাগড় করেন নাকি নাকি বলৎকার করেন কি জানি,2,Sarcastic,banglasarc3
প্রিয় মানুষটা যদি সব বোঝে তাহলে সেখানে ভলোবাসা পরিপূর্ণ থাকে,1,Neutral,banglasarc3
খালেদার ম্যাকআপ আর্টিস্ট কে৷ তাকে কোনোভাবে জুলাই আগস্ট হত্যাকাণ্ডের মামালায় ঢোকানো যায়না,2,Sarcastic,banglasarc3
কিন্তু রোজা আবার কে তাকে তো চিনলুম না,2,Sarcastic,banglasarc3
দৌড়টা ভালো ছিল,0,Non-Sarcastic,banglasarc3
আমারটার যদি এরকম ধৈর্য্য থাকতো,2,Sarcastic,banglasarc3
সৈয়দ শামসুল হক হুমায়ূন আহমেদসহ মহারথী কিছু লেখকের জীবনাবসানও ঘটে এই দশকে,1,Neutral,banglasarc3
সাকিব ফর ডিরেক্ট হিট,0,Non-Sarcastic,banglasarc3
মহানবি সা এর বিদায় হজের ভাষন ছিল সর্বশ্রেষ্ঠ ভাষন তবে স্টিভ জবস স্যার স্যার যে ভাষন দিয়েছেন সত্যি অসাধারণ,1,Neutral,banglasarc3
ডিজিটাল পেইন্টিং করলে হবে,1,Neutral,banglasarc3
এতোদিন এই কাহিনী কোথায় ছিলো অবাক হচ্ছি যে আপনার কেউ জানানোর চেষ্টা করেছিলো কিনা,1,Neutral,banglasarc3
যেমন আমি মেয়ে হয়েও খাট্টা,2,Sarcastic,banglasarc3
ভাই আমি ঠিক এইরকম করি সকালবেলায়,2,Sarcastic,banglasarc3
পৃথিবীর সবচেয়ে ধনী ব্যক্তিরাও তাদের সময় এবং সম্পদ সঠিকভাবে ব্যবহার করেছেন যা তাদের সাফল্যে সহায়তা করেছে,1,Neutral,banglasarc3
সেখানে অনেক বাংলাদেশিও আছে তাদের মনে হয় ট্রাম্পের বিশেষ প্রাইভেট জেটে করে ফেরত আনা হবে,2,Sarcastic,banglasarc3
ফকিন্নি আলাপ কোরবানির এক ছাগলের টাকা এখানে দেবে এটা আবালীয় আলাপ,2,Sarcastic,banglasarc3
আসিফ নজরুল স্যারের পক্ষ থেকে ভালো ডিমের ব্যাবস্থা করা হোক,2,Sarcastic,banglasarc3
ভালোবাসা দিয়ে গেলাম আশা করি আমরাও পাবো,2,Sarcastic,banglasarc3
ইনফরমেশন লিংক ডেসক্রিপশনে দেওয়া টা একটা পরিশ্রমী ও বড়ো একটা ভালো উদ্যোগ,1,Neutral,banglasarc3
বললাম আপনি নামাজে যান নাই কেন বলল তাহলে পাহাড়া দেবে কে,1,Neutral,banglasarc3
বাহ কেয়া ছিন হে,2,Sarcastic,banglasarc3
লাইফে সফল হতে গেলে ইগনোর করার দক্ষতা অর্জন করতেই হবে,0,Non-Sarcastic,banglasarc3
স্বামীর শাসন না থাকলে একটা মেয়ের যে কি অবস্থা হতে পারে এটা শাওনকে দেখলেই বুঝা যায় যাইহোক তাকে গ্রেফতার করাতে খুব ভালো লাগতেছে,0,Non-Sarcastic,banglasarc3
প্রতারক প্রেমিকাকে আইনের আওতায় আনা হোক,2,Sarcastic,banglasarc3
অভিনন্দন সবাইকে যারা চেষ্টার নামে ধোকা দেয় তারা জীবনে সফল হতে পারে না,1,Neutral,banglasarc3
স্যার ডাঃ নাবিল কত সু শিক্ষাই শিক্ষীত যে কত সুন্দর করে মানুষ কে বুঝাই এমন মানুষ বাংলাদেশে আছে সে জন্যই আমরা গর্বীত কত সুন্দর আলোচনা কথায় কথাই কুরআন ও হাদীসনিয়ে আলোচনা এবং বীজ্ঞানীদের কথা আর কুরআন ও হাদীসের কথা মিলিয়ে দেয় মহান রব্বুল আলামীন আপনাকে নেক হায়াৎ দান করুক,1,Neutral,banglasarc3
পেইন্টিংসের প্রতি ছিল তার দুর্বলতা,1,Neutral,banglasarc3
ইন ফ্যাক্ট শতভাগ ডাবল ফুয়েল গাড়ির যাত্রী আমাদের দেশের মানুষ গ্যাস ইনপুট করার জন্যে সেইফটি গাইডলাইন ফল্যো করেন না যেটা এরকম দুরঘটনার সম্ভাবনা বহুগুণে বাড়িয়ে দেয়,1,Neutral,banglasarc3
দুইদিন পর পদ্মার উদ্ভোদন এখন এসব নিউজ করা উচিত না,0,Non-Sarcastic,banglasarc3
সেসব গল্প কবিতার সবই যে খুব শিল্পসচেতন তা নয় কিন্তু বাঁকবদলের কালে এমনটা খুবই স্বাভাবিক,1,Neutral,banglasarc3
প্রত্যেকটা বাবা ই সন্তানের জন্য একজন অসম্ভব দায়িত্ববান মানুষ ভালো থাকুক পৃথিবীর সকল বাবা,1,Neutral,banglasarc3
নিজের পছন্দের জিনিস উপভোগ করুন,1,Neutral,banglasarc3
আল্লাহ তুমি আমাদের মাফ তোমার পবিত্র কাবা শরিফ তোয়াফ করার তৌফিক দান করুন আমিন,1,Neutral,banglasarc3
মাংসের বদলে কাঁঠাল,2,Sarcastic,banglasarc3
বাংলাদেশে যখন তামাশা স্বর্গ রাজ্য আমরা তাদের তামাশা আরো দেখতে চাই,0,Non-Sarcastic,banglasarc3
ঢাকার ভিতরে কোন টোল সিস্টেমই থাকা উচিত না ঢাকার বাইরে যেয়ে যখন নামবে তখন টোল দিবে আর বাইরে থেকে ওঠার সময় টোল দিবে এইরকম করা উচিত,1,Neutral,banglasarc3
মানুষ হত্যা করা আর সেটা নিয়ে খুব খুশির মাধ্যমে প্রচার করা এটা একটা আনন্দের বিষয় দুঃখ হয় এই নিকৃষ্ট জাতির প্রতি যারা একটা মৃত্যু তাদের কাছ থেকে কিছু না,0,Non-Sarcastic,banglasarc3
এই মানুষটা সত্যিকারের হিরো মিডিয়ার প্রচারের দরকার নেই,0,Non-Sarcastic,banglasarc3
যদি বাংলাদেশি রোগীরা কলকাতায় না আসলে কলকাতা পথে বসে তাহলে আমি একজন ভারতীয় হয়ে চাই কলকাতা পথেই বসে থাক আবর্জনা টেনে আনার থেকে পথে বসে থাকা অনেক ভালো,2,Sarcastic,banglasarc3
মহিলারে পোলাপান যেভাবে মারধর করলো বিষয়টা ভালো লাগেনি,1,Neutral,banglasarc3
আমাদের মাননীয় প্রধানমর্ন্তী আপনাকে একটা পুরষ্কার দেয়ার চিন্তা ভাবনা করছি বিশ্বের সেরা মিথ্যাবাদির পুরষ্কার,2,Sarcastic,banglasarc3
খুবি দুখ ঝনক যে আজ ভালোবেচে এই অবস্থায় পতিত হতে হলো নিজেকে,2,Sarcastic,banglasarc3
আহ্হারে বোন আমার শীত বস্ত্র দিবো এবারো প্ল্যান আছে তোমার নাম্বার টা দাও শীতের মধ্যে ছেড়া কাপর পড়ে আছে বোনটি,2,Sarcastic,banglasarc3
খুব সুন্দর একটি লাইন পরিবার চাকরি কিংবা শত ব্যাস্ততার মাঝেও নিজেকে একটু সময় দেওয়া,1,Neutral,banglasarc3
যারা নামে বেনামে হাজার কোটি টাকা লোপাট করেছে বাংলাদেশী আইন তাদের ক জনকে জেলে ভরেছে এ দেশের আইন শুধুই গরীবদের জন্যই,0,Non-Sarcastic,banglasarc3
এভাবে কমেন্ট রিপ্লাই দিয়ে পোস্ট করে কিভাবে দয়া একটু জানাবেন প্লিজ,1,Neutral,banglasarc3
ময়ুর চ্যাটার্জীর পক্ষ থেকে প্রচুর নিন্দা জানাচ্ছি,2,Sarcastic,banglasarc3
যত বেশি কঠিন হবে তত বেশি আপনি শক্তিশালী হয়ে উঠবেন,1,Neutral,banglasarc3
পৃথিবীর সেরা তত্ব্য প্রযুক্তি এক রোবটের গল্প কাহিনি যেটা শেখ হাসিনার সাথে রাত কাটিয়ে আবার জয়ের সাথে রাত কাটায় ভাবতে পারেন উভয় লিঙ্গ,2,Sarcastic,banglasarc3
বাংলার এক মাত্র সুপার স্টার অভিনেত্রী হাসু আপা,2,Sarcastic,banglasarc3
লাখো মানুষের মনে কথা বলছেন হিরো ভাই,0,Non-Sarcastic,banglasarc3
পাশাপাশি বৈশ্বিক টেকসই উন্নয়ন লক্ষ্য পূরণেও সহায়ক,1,Neutral,banglasarc3
বইটির ব্যাপারে খুব আগ্রহ তৈরি হয়েছে আশা করি এই বইয়ের মাধ্যমে নতুন কিছু শিখতে পারবো,1,Neutral,banglasarc3
প্রথম কালো হিজ্রাইলের দালাল,0,Non-Sarcastic,banglasarc3
স্বৈরতন্ত্রের আঁতুড়ঘর ভাঙতে ভাঙতে ছাত্রজনতার মুখে সবচেয়ে বেশিবার উচ্চারিত হয়েছে যে স্লোগান তা হল নারায়ে তাকবির আল্লাহু আকবার এটা একটা গভীর তাৎপর্যপূর্ণ পরিবর্তনের ইঙ্গিত বহন করে,0,Non-Sarcastic,banglasarc3
তুরু বেড়া আমি কে,2,Sarcastic,banglasarc3
ছোট থেকেই আমার স্বপ্ন আমি তিতুমীর বিশ্ববিদ্যালয় এ পড়বো কারন তিতুমীর বিশ্ববিদ্যালয়ের ফ্যাকালিটি দেশ সেরা আর শিক্ষার্থী বড় ভাইয়েরা অক্সফোর্ড এর চেয়ে বেশি জ্ঞানী আগামী ১ লা ফেব্রুয়ারি তিতুমীর বিশ্ববিদ্যালয়ে ঘুরতে যাব আমি প্রবেশ করতে পারবো,2,Sarcastic,banglasarc3
এটা ইন্ডিয়ার জন্য কিছু না ওরা বউও মারার জন্য বন্ধুদের ভাইদের ডেকে আনে বউও মারার জন্য তারপর সবাই একসাথে মারে,0,Non-Sarcastic,banglasarc3
ছিঃকি বিকৃত মন মানসিকতা মায়ের বয়সী প্রধানমন্ত্রী শেখ হাসিনা নোংরা চিন্তা করার একটা সীমা থাকা উচিত,0,Non-Sarcastic,banglasarc3
সঠিক কথা বলছেন ওরকম কিছু মেয়েরাও আছে একদিন নিজের পায়ে ঠিকি দাঁড়াবে,1,Neutral,banglasarc3
আপনি যে সমস্যার সম্মুখীন হচ্ছেন তা খুবই সাধারণ এবং অনেকেই এর মধ্যে দিয়ে যায় মনে হয় আপনি ইতিমধ্যেই কিছু পদক্ষেপ নিয়েছেন যা আপনাকে সাহায্য করছে,1,Neutral,banglasarc3
আপনি যাকে ভালোবাসেন ইচ্ছা করলেই তাকে হেদায়াত করতে পারবেন না,2,Sarcastic,banglasarc3
সাদ পন্থীরা কী ভাড়াটিয়া হিসেবে বাংলাদেশে আসছে নাকি সরকার এক গ্রুফ কে দেয় আরেক জনকে দেয় না এখানে তো পুরাটা বৈষম্য আর আমরা ২৪ ই যুদ্ধ করছি মনে হয় জন্য,0,Non-Sarcastic,banglasarc3
যে করে হোক আপনাকে একটা বাসে হেল্পার হিসাবে নিয়োগ দিতে পারবে,2,Sarcastic,banglasarc3
ছিহ পড়তে গিয়ে আমার ওজু টা ভেঙ্গে গেলো,2,Sarcastic,banglasarc3
অভিনন্দন ও শুভকামনা তোমার জন্য বাবা,0,Non-Sarcastic,banglasarc3
ইউনিভার্সিটির ক্লাস শেষ করে বাসায় আসতে আসতে পরের দিনের ক্লাসের সময় হয়ে যায়,2,Sarcastic,banglasarc3
আর রাতের ভাত খাওয়ার পর ঘুম পালায়,2,Sarcastic,banglasarc3
স্বদেশী বাঙ্গু বামদের সাথে পাঠচক্র ও মশাল মিছিল এ যোগ দিতে শীগ্রই দেশে আসছেন কমরেড সুবর্ণ,2,Sarcastic,banglasarc3
সমস্যা হলো আপনারা কথা বেশি বলেন আর কাজ করেন কম উল্টো হলে ভালো হতো,0,Non-Sarcastic,banglasarc3
আমার মেয়ে এবার এসএসসি দিবে দাড়াও তার নাম্বারটা দিচ্ছি,2,Sarcastic,banglasarc3
এটা জীবনেও সম্ভব না কারন আপনে আরো মজুদ থাকলে ও সিন্ডিকেট না ভাংগা আর আমাদের মানসিকতার পরিবর্তন না হওয়া পর্যন্ত এটা অসম্ভব,1,Neutral,banglasarc3
এক সময় বসন্ত কলেরা এগুলো ছিল আতঙ্কের নাম,1,Neutral,banglasarc3
বাসর ঘরে আমার জামাইয়ের রিয়েকশন এমন না হলে বিয়েই করবো না,2,Sarcastic,banglasarc3
ডিপারমেন ফেকালিটি ১ লা,2,Sarcastic,banglasarc3
ভাই হাসলে কি পাপ হবে,2,Sarcastic,banglasarc3
আল্লাহ তার মন মানসিকতা এমন সুন্দর রেখে তাকে অনেক উপরে ওঠার তৌফিক দান করুন,1,Neutral,banglasarc3
আপ্নি সুধু মিডিয়ার হিরো না বাস্তবে ও হিরো সেলুট বস,0,Non-Sarcastic,banglasarc3
শিশুদের নিরাপত্তা নিশ্চিত করা আমাদের সবার দায়িত্ব,1,Neutral,banglasarc3
উনার মতো মানুষদের কাজকে স্বীকৃতি দেওয়া উচিত,1,Neutral,banglasarc3
ইজ্জত এর ভয়ে মন খুলে কমেন্ট করতে পারি না যদি এলাকার কেউ কমেন্ট পড়ে,2,Sarcastic,banglasarc3
আমরা বাঙালি আমরা অতি সহজেই সবকিছু ভুলে যাই,0,Non-Sarcastic,banglasarc3
পৃথিবীতে একমাত্র বাঙ্গালী জাতি যাবা সবকিছু নিয়ে মজা আর বিনোদন পছন্দ করে আমি গর্বিত আমি বাঙালী,2,Sarcastic,banglasarc3
একজন মানুষের অর্জিত সম্পদ তার পরিবারের মাঝে শান্তি প্রতিষ্ঠা করতে পারেনি এটাই বড় দুঃখজনক,1,Neutral,banglasarc3
আয় কালকে না অফার দিছিলি আমারে একসাথে খাবি,2,Sarcastic,banglasarc3
ট্রাইবুবাল কি সকল আহতদের কাছ থেকে সঠিক তথ্য নিচ্ছে তার খবরাখবর টিভি নিউজে গুরুত্ব দিয়ে দেখানো হচ্ছে না কেন,0,Non-Sarcastic,banglasarc3
চিত্রনায়িকা পপির লুকে অপু বিশ্বাস,2,Sarcastic,banglasarc3
ভাই আপনার সাথে কবে এইভাবে ছবি তুলবো,0,Non-Sarcastic,banglasarc3
সব ম্যাচ বেঁচে দিলে কি আর টাকার অভাব হয়,2,Sarcastic,banglasarc3
এখনো প্রায়সময় বলে উঠি মা আমার জ্বর জ্বর লাগছে তখন মা কপালে হাত রেখে বলে জ্বর না এমনিতেই একটু শরীর গরম হয়েছে ঠিক হয়ে যাবে,0,Non-Sarcastic,banglasarc3
বিজ্ঞানীদের নতুন আবিষ্কার সত্যিই অবাক করার মতো,1,Neutral,banglasarc3
জীবনকে কল্যাণের দিকে পরিচালিত করতে এই ধরনের উদ্যোগ খুবই সহায়ক আল্লাহ আমাদের সবার আমল কবুল করুন,0,Non-Sarcastic,banglasarc3
মন দিয়ে চোখ বুলিয়ে খুঁজলে সিঙ্গেল ছেলেও পাওয়া যায়,0,Non-Sarcastic,banglasarc3
২৪ যেমন আমাদের অর্জন ঠিক তেমনি ৭১ ছিলো আমাদের গর্ব,1,Neutral,banglasarc3
আমার মায়ের গল্প,2,Sarcastic,banglasarc3
বাংলাদেশের গণতান্ত্রিক সংস্কারে জার্মানের সমর্থন গুরুত্বপূর্ণ,1,Neutral,banglasarc3
উকে আমিই এদিক সেদিক সিভি ড্রপ করতে বলছিলাম,1,Neutral,banglasarc3
ক দিন পরে আপনার বেলার মেয়ে বিয়ে দিবে আপনার কিন্তু দাওয়াত রইলো বাবা হিসেবে না তো মামা হিসেবে আইসেন,2,Sarcastic,banglasarc3
যত যাই হোক নোটি বলা যাবে না,0,Non-Sarcastic,banglasarc3
কয়েকজন দেখি গায়ে পড়ে খুচাখুচি লাগায় দিসে,2,Sarcastic,banglasarc3
বাংলাদেশে যাকিছু মহান সৃষ্টি চিরকল্যাণকর অর্ধেক তার করেছে নারী বাকী অর্ধেক নারীর বর,2,Sarcastic,banglasarc3
এখনকার বেশির ভাগ সহধর্মিণীরা নিজের সংসারের কাজ স্বামী সন্তানের খেয়াল রাখাকে বান্দীগিরী মনে করে তার নিজের সংসারের কাজ গুলোকে সে মনে করে বান্দীগিরী কত টা নিচু মনমানসিকতা হলে এমন ভাবনা এমন চিন্তা মাথায় আসে,1,Neutral,banglasarc3
শিশুর ফুসফুসে পানি চলে যাওয়ার ঘটনা এড়াতে পরিবারকে চিকিৎসকের নির্দেশ মেনে চলা বাধ্যতামূলক করা উচিত,1,Neutral,banglasarc3
তদের এমন অবস্থা হবে সারা পৃথিবী মানুষ দেখবে আর আসবে মনে রাকিস আল্লাহ চার দেন চেরে দেব না আমাদের জন্য আমাদের আল্লাহ আছে এ,0,Non-Sarcastic,banglasarc3
মৃত্যু এটি কি শুধুই একটি শেষ নাকি আল্লাহ্ র সাথে সাক্ষাতের নতুন শুরু,1,Neutral,banglasarc3
সুস্বাগতম আপনার অনেক ভক্ত আছে আমার মত তাদের সবাইকে বলে দিয়েন রক্তদানে এগিয়ে আসতে বিশেষ করে এই রমজানে মূমুর্ষূ রোগীরা খুব অসহায়ভাবে তাকিয়ে আছে আমাদের দিকে রোজার দিন বলে কেউ রক্তদান করতে চায় না আপনি একটু বলে দিলে সবাই মানবতার এই কাজে ঝাপিয়েঁ পড়বে আপনিও অসহায়দের দুয়া পাবেন সো প্লিজ,0,Non-Sarcastic,banglasarc3
আমি ভাবনার স্বপ্নজালে বাস করি কিন্তু এত চিন্তা করতে পারি না,1,Neutral,banglasarc3
তাহলে কিয়ামত হলে কি হবে যখন পাহাড় পর্বত গুলো তুলার মতো উরবে,0,Non-Sarcastic,banglasarc3
যতক্ষন দেখেছি অঝড়ে কেদেছি,1,Neutral,banglasarc3
খুনিদের মুখোশ এখনো উন্মোচন হয়নি কেন,0,Non-Sarcastic,banglasarc3
আমার মতে স্বৈরাচারী শেখ হাসিনাকে কোন ভাষণের সুযোগ দেওয়া উচিৎ নয় কে কে একমত,0,Non-Sarcastic,banglasarc3
ভাই হয়তো মুজিব সৈনিকের কমান্ডার বা মেজরও হতে পারে নাহলে এত কঠিন হিসাব মেলাতে পারতো না,2,Sarcastic,banglasarc3
অভাবে থাকলে ভালোবাসা যৌবন কিছুই থাকে না,1,Neutral,banglasarc3
