text,label_binary,label_original,dataset_name
সামনে ক্যারিয়ার তার সামনে নেশা আর হাতে সংসার,1,Sarcastic,banglasarc3
ভ্রমর চরিত্রের রাজনীতিবিদ উড়ে উড়ে ফুলে ফুলে মধু সংগ্রহ করাই যাদের কাজ,1,Sarcastic,banglasarc3
বোরখা পরা মেয়েটার চিন্তা ভাবনা এখন পালটায় যাবে পোশাকের ক্ষেত্রে,0,Non-Sarcastic,banglasarc3
আমিও নামের শেষে চ ্যাটার্জি লাগাবো তাহলে আর ধারের টাকা দিতে হবেনা,1,Sarcastic,banglasarc3
আল্লাহ্ সবাইকে হায়াত দান করুক,0,Non-Sarcastic,banglasarc3
ভারতীয় সিনেমায় মায়ের অভিনয় করতে দিলে অনেক ভালো পারবে চলচ্চিত্র এডওয়ার্ডও পেতে পারে তাতে বাংলাদেশের সুনাম বাড়বে,1,Sarcastic,banglasarc3
তুমি গুরুত্বপূর্ণ খেলোয়াড়দের এক জন,0,Non-Sarcastic,banglasarc3
অভিযান বাইরে না চালিয়ে সেনানিবাসে চালান সব বদমায়েশকে তো ওখানেই লুকিয়ে রাখা আছে,0,Non-Sarcastic,banglasarc3
প্রাণী রাও বুঝে ভালোবাসা আর তুমি বুঝলা নাহ প্রিয়,0,Non-Sarcastic,banglasarc3
এ জন্য আমার রাতের ঘুম স্বপ্নে পরিনত হইছে,1,Sarcastic,banglasarc3
সময় মত বাচ্চাদের পলিও টিকা দিলে এই দিন দেখতে হত না,1,Sarcastic,banglasarc3
রিপন ভিডিও ভায়ের পক্ষে আছি,1,Sarcastic,banglasarc3
পাহার,0,Non-Sarcastic,banglasarc3
অভিনেত্রী হলে তার অভিনয়ের জন্য এতো দিনে নির্ঘাত অস্কার পেত,1,Sarcastic,banglasarc3
দ্য লিজেন্ড অনন্ত ভাই,0,Non-Sarcastic,banglasarc3
বীর চট্টলার অন্যতম সমন্বয়ক জুলাই বিপ্লবের রাজপথের সৈনিক জাতির বীর সৈনিক বিপ্লবের কান্ডারি বীরবিক্রম খানে বাহাদুর তামিম ইকবাল খানের সাথে বেয়াদবি করায় তীব্র নিন্দা ও প্রতিবাদ জানাচ্ছি,1,Sarcastic,banglasarc3
মুখের পর্দা গুরিয়া রাখেন,1,Sarcastic,banglasarc3
গুলি কি হাত দিয়ে আটকাবে না বিচি দিয়ে,1,Sarcastic,banglasarc3
চাকরি পেলে করতে থাকো বেলা আসবে,0,Non-Sarcastic,banglasarc3
তোমারে দিয়া ওটাই সম্ভব বাকি সবগুলাই তোমার লস প্রজেক্ট,1,Sarcastic,banglasarc3
ইসলামের স্লোগান দিয়ে ধর্মীয় লেবাসের তৌহিদী জনতা এবার মূর্তি পুজারী পিনাকি হিন্দু নেতার নেতৃত্বে আজব এসব মুষ্টিমেয় মব জনতা যদি সরকার তার প্রতিটি নাগরিকের মানবিক অধিকার ব্যর্থ হয় রাষ্ট্র চরম অন্ধকারে দাবিত হবে,0,Non-Sarcastic,banglasarc3
এই ভদ্র মহিলারে তো অনেক আগেই গ্রেফতার করা উচিত ছিলো এতো পরে কেনো,0,Non-Sarcastic,banglasarc3
আমার গুরু শেকাচিনা আবার বাংলাদেশের প্রদানমন্তি হবে জয় বাংলা,1,Sarcastic,banglasarc3
গ্রামে যহন গেছো অাপু থানকুনি পাতা বেশি করে খেয়ে নিও,0,Non-Sarcastic,banglasarc3
বিগ ফ্যান ভাই আপনার প্রত্যেকটা পোস্টে নিয়মিত গালাগালি করি,1,Sarcastic,banglasarc3
আমরা অকৃতজ্ঞ জাতি আমরা এইসব খুব সহজেই ভুলে গেছি,0,Non-Sarcastic,banglasarc3
কি আর বলবি তুই তাইতো ওখানেই থাকতে চাস দেশের ভাব মুর্তি নষ্ট করে এখন ক্যানক্যানানি করে কি লাভ,0,Non-Sarcastic,banglasarc3
ঠিকই তো আছে রোবট বলে কি মানুষ না নাকি,1,Sarcastic,banglasarc3
মরলে সাধারণ জনগণ মরে তাদের তো কোনো সমস্যা হয়না,1,Sarcastic,banglasarc3
এটা এই প্রজন্মের ক্ষোভ বাপকে বেইচা মানুষকে গুম খুন করার ক্ষোভ চোখের সামনে তাদের ভাই বোনদের রক্ত ঝরানোর ক্ষোভ এটা যেকোন স্বৈরাচারের অত্যাচারীর জন্যে বড় শিক্ষা হয়ে থাকবে যদিও কেউ ই ইতিহাস থেকে শিক্ষা নেয় না,0,Non-Sarcastic,banglasarc3
রুচির দুর্ভিক্ষ হয়েছে নতুন বোতলে পুরনো মদ,1,Sarcastic,banglasarc3
হ্যা বাড়বে তো অবশ্যই সামনে যে ঈদ,0,Non-Sarcastic,banglasarc3
বিষয়টা মোটেও হাসির না সামনে কঠিন সময় আসবে এই এর বদৌলতে,0,Non-Sarcastic,banglasarc3
এদেরকে নিরাপত্তা দিতে যদি ব্যথ হয় বা জনগণকে নিরাপত্তা না দিতে পারলে ষররাষ্ট্র উপদেষ্টার পদত্যাগ করা উচিৎ,0,Non-Sarcastic,banglasarc3
মাননীয়া প্রধানমন্ত্রী আপনি দেখছি আপনার তথাকথিত সস্তা আওয়ামী ফেসবুকার আর ব্লগারদের ভাষায় কথা বলছেন অত্যন্ত নিন্দনীয়,0,Non-Sarcastic,banglasarc3
সরাসরি বিকাশ কোম্পানির বিরুদ্ধে মামলা করা উচিৎ এই ধরনের বড় বড় কোম্পানি গুলো নতুন স্টার্টআপ ধ্বংস করে অন্যথায় তাদের মাধ্যমে ষড়যন্ত্র করে থাকে,0,Non-Sarcastic,banglasarc3
বাংলাদেশে যাকিছু মহান সৃষ্টি চিরকল্যাণকর অর্ধেক তার করেছে নারী বাকী অর্ধেক নারীর বর,1,Sarcastic,banglasarc3
৯০ কিংবা ৯৫ মুসলমানের দেশ আহা কি অবস্থা,1,Sarcastic,banglasarc3
এইটা কোন ধরনের জাল মাছ কোন দিক দিয়ে ডুকবে,1,Sarcastic,banglasarc3
গ্রুপের নিয়মে কিছুটা পরিবর্তন আনা হয়েছে,1,Sarcastic,banglasarc3
কি হয় জানো না তো কি দেখাবা হুজুগে,1,Sarcastic,banglasarc3
নবীর অপমান কারীর শাস্তি দাও তারপর ওয়াজে হিন্দুদেবদেবী দের অপমান কারীদের ডিম থেরাপি দাও,0,Non-Sarcastic,banglasarc3
ডাক্তারদের কাজ আমাদের কাছে অনুপ্রেরণা,0,Non-Sarcastic,banglasarc3
আমাদের দেশে নাস্তিকরা এতোটা ভয়ানক না আস্তিকরা যে পরিমাণ ভয়ানক সাফার যদি পরকালে বিশ্বাস নাই থাকে এটা তার বিশ্বাসের কথা বলসে আর সেটার গুনাহ আল্লাহর কাছে সেটা আল্লাহ সুবহানতায়ালা দেখবেন তোমরা তাকে এইভাবে অপদস্ত করবে ইসলাম কি তাই বলে আরে একজন নাস্তিকের সাথেও মোহাম্মদ সঃ এমন ব্যাবহার করতেন যে তার ব্যাবহার দেখে তার মনেও বিশ্বাস জাগে এই তোমাদের আস্তিকতার প্রমান তোমাদের এই ব্যাবহার দেখে আস্তিকও নাস্তিক হয়ে যাবে ভয় দেখিয়ে ঘৃনা করে কাউকে আস্তিক বানানো যায় না ছিঃ এই ব্যাবহার কি ইসলামিক ব্যাবহার এতো ঘৃনা মোহাম্মদ স তো অনেক সুন্দর করে কাফেরদের সাথে কথা বলতেন,0,Non-Sarcastic,banglasarc3
প্রচুর পড়ে বিদ্যাসাগর হতে হবে,1,Sarcastic,banglasarc3
সেক্সি গার্ল,0,Non-Sarcastic,banglasarc3
এই লোকটি বিনা পরিশ্রমে ও বিনা খরচায় অটোমেটিকভাবে ভাইরাল হয়ে গেল,1,Sarcastic,banglasarc3
কালো গোলাপ বাংলাদেশের কই পাওয়া যায় ঐটা বলেন আগে,0,Non-Sarcastic,banglasarc3
আমার মত কমেন্ট করতে এসেছ কারা লাইক দিয়ে যাও,1,Sarcastic,banglasarc3
আপনারা এত বুদ্ধি নিয়ে ঘুমান কেমনে ভাই,1,Sarcastic,banglasarc3
হুম এরপর দুই লাইন পড়েই ঘুমায়ে যাই,1,Sarcastic,banglasarc3
এই কথা সিইসি জানেনা কেন জাতি জানতে চাই,0,Non-Sarcastic,banglasarc3
কোন নারির পেট আবার করবে ভারী সেটাই দেখার বিষয়,1,Sarcastic,banglasarc3
টাকায় গুতা খাওয়ার পর,1,Sarcastic,banglasarc3
আবেগ চুষে নেওয়া এটি এমন এক ধরনের মানুষ বা পরিস্থিতি যা আশেপাশের মানুষের আবেগ ও মনোযোগ চুষে নেয় যেমন কোনো ব্যক্তি যিনি সব সময় সাহায্য চান বা নিজের সমস্যার জন্য অন্যের ওপর নির্ভর করেন সম্পর্ক বা বন্ধুত্ব যেখানে একপক্ষ অনেক বেশি দেয় কিন্তু অন্যপক্ষ কিছুই দেয় না একতরফা সম্পর্ক ইমোশনাল ব্ল্যাকহোল সম্পর্কগুলো সাধারণত একতরফা হয় আপনি হয়তো অনেক কিছু দিচ্ছেন কিন্তু বিনিময়ে কিছুই পাচ্ছেন না নেতিবাচক প্রভাব এই ধরনের পরিস্থিতি আপনার মানসিক শক্তি কমিয়ে দিতে পারে এবং আপনাকে ক্লান্ত ও হতাশ করতে পারে,0,Non-Sarcastic,banglasarc3
নতুন মিয়া খলিফাগো দেখার জন্য অপেক্ষা করতে আছি,1,Sarcastic,banglasarc3
কোথায় হাসতে হবে আন্ডারলাইন করে দেন,1,Sarcastic,banglasarc3
বাংলাদেশিরা এই নিউজে এমনি হাসতেছে যেনো বাংলাদেশিদের জামাই আদর কইরে পাঠাবে ট্রাম্প মামু,1,Sarcastic,banglasarc3
বা লের গফ ফেসবুক এ কভার এ নেই,1,Sarcastic,banglasarc3
নানা জাহাপনা হেনাকে ভুলা সম্ভব নয় বাংলার নতুন ঘসেটি বেগম হেনা মীরজাফরদের সাথে নিয়ে দেশের বারোটা বাজিয়ে এখন ভারতের উড়িষ্যায় অবস্থান করছেন তাকে আমরা কি করে ভুলি,0,Non-Sarcastic,banglasarc3
বিনেদনের শেষ নেই বাংলাদেশ,0,Non-Sarcastic,banglasarc3
ভারত এমন একটা রাষ্ট্র সেখানে সবি সম্ভব,1,Sarcastic,banglasarc3
মানুষ যতোটুকু ক্রুয়েলিটি সো করে পাগল কুকুরও ততটা নয়,0,Non-Sarcastic,banglasarc3
স্বামীর ঋনের মামলায় মহিলাকে জেল হাজতে প্রেরণ করেছে এবং বাচ্চাদের আসামি করা বিবেচনা করে নাই এরা জজ হয় কিভাবে এসব জজের কারণে এদেশে বিচারব্যবস্থার করুন অবস্থা,0,Non-Sarcastic,banglasarc3
রোগীর মা র অভিযোগের পেছনে আবেগের ভূমিকা থাকে তবে তা মিথ্যা বলার কারণ হতে পারে না,0,Non-Sarcastic,banglasarc3
সতীদাহ চালু থাকলেও এদের উপর কার্যকর হতোনা কারণ ঐটা সতীদাহ নটিদাহ না,1,Sarcastic,banglasarc3
শেখ হাসিনার ছেলে জয়ের ছোট ভাই অজয়,1,Sarcastic,banglasarc3
বাংলাদেশ আজীবন আন্তর্জাতিক রাজনীতির শিকার ছিল কিন্তু এখন পর্যন্ত আমরা বুঝতেই পারলাম না,1,Sarcastic,banglasarc3
অসাধারণ যুক্তিবিদ,0,Non-Sarcastic,banglasarc3
ফাউল একটা কথা যাদের চাহিদা কম থাকে তাদের কপালে ওই কমটাও জুটে না,0,Non-Sarcastic,banglasarc3
নামাজ নিয়ে মজা করা শুরু করে দিয়েছেন,0,Non-Sarcastic,banglasarc3
হাসিনা যে কয়দিন পুলিশি হেফাজতে থাকবে সে কয়দিন আয়না ঘরে রাখার জোর দাবি জানাচ্ছি,0,Non-Sarcastic,banglasarc3
নাফিস নিজের জীবনের লক্ষ্য অনুসরণ করতে গিয়ে নানা কঠিন পরিস্থিতি পার করেছে,0,Non-Sarcastic,banglasarc3
কমেন্ট পড়া লোকে বেতনের ব্যবস্থা করা হক,1,Sarcastic,banglasarc3
শাহাদাত জুলাস আমি মাইয়্যা লোকের প্যান্ট নিয়ে কি কবরো কিন্তু প্যান্ট আসলে কোথায়,0,Non-Sarcastic,banglasarc3
যেমন কর্ম তেমন ফল তারা মনে করেছিলেন সারাজীবন ক্ষমতায় তারাই থেকে যাবে এবং দেশের মানুষ কে তাদের মতো করে অভিচার অত্যাচার গুম খুন বাড়ি ছাড়া করবে অর্থাৎ যতই রকমের অভিচার অত্যাচার আছে সব কিছু দিয়ে মানুষ কে তাদের গোলাম বানিয়ে রাখতে ছেয়ে ছিলেন আল্লাহ ছাড় দেয় কিন্তু ছেড়ে দেন না আজ সেই একজন স্বৈরাচারী হিসেবে অন্য দেশে থাকতে হচ্ছে তিনি মানুষের সব অধিকার কেরে নিয়ে ছিলেন এখন আল্লাহ পাক তার থেকে সব কিছু কেরে নিচ্ছে,0,Non-Sarcastic,banglasarc3
তিতুমীর কলেজ ভেঙ্গে গার্মেন্টস বানানো হোক এমন অপদার্থ শিক্ষার্থী দেশ ও জাতির জন্য অভিশাপ,1,Sarcastic,banglasarc3
একা একা চুমু খেতে চাও তবে হাসিনার মতো নির্জন বাগানে যাও,1,Sarcastic,banglasarc3
ও ভালো করে বুঝে গেছে লাইলাকে একটু ইমপ্রেস করতে পারলেই সুগার মাম্মি ওর হয়ে যাবে মামুন এর জায়গাটা দখল করতে আসছে,1,Sarcastic,banglasarc3
আমি অবাক হই পত্রিকাগুলো এখনো ওদের হাগামুতা প্রকাশ করে খু নীদের পুনর্বাসন এর চেস্টায় মরিয়া যতদিন না ওদের বিচার হচ্ছে ততদিনে ওদের একটা বিবৃতিও যেন না ছাপে এজন্য ব্যবস্থা নেয়া উচিত,0,Non-Sarcastic,banglasarc3
নির্বাচন ঈদের পর হলে ভালো হয়,1,Sarcastic,banglasarc3
কারণ বৈষম্য সৃষ্টি হলে অনেকের ক্ষমতার চেয়ার বিলুপ্ত হয়ে যাবে,0,Non-Sarcastic,banglasarc3
রেলওয়ের নিয়োগ প্রক্রিয়ায় স্বচ্ছতা এবং মেধার যথাযথ মূল্যায়ন নিশ্চিত করা উচিত,0,Non-Sarcastic,banglasarc3
ডিপ্লোমা ইঞ্জিনিয়ার্স যেহেতু বলছে ঠিকই বলছে,1,Sarcastic,banglasarc3
অস্কার প্রাপ্ত সেরা অভিনেত্রী সখের হাসিনা,1,Sarcastic,banglasarc3
ছোট বেলায় এই দড়ি লাফ খেলা আমরাও খেলিছ,0,Non-Sarcastic,banglasarc3
যে সাংবাদিক এই নিউজটা করেছে সে মনে হয় টয়লেটে যায় হেলিকপ্টারে করে,1,Sarcastic,banglasarc3
এ দেশকে বাংলাদেশ নাম দিয়ে না দিয়ে পাগলা গারদ বাংলাদেশ নাম দেওয়া উচিত ছিল কোন দেশে বসবাস করতেছি যত পাগলের খেলা,1,Sarcastic,banglasarc3
আমি মুক্তিযুদ্ধ দেখিনি কিন্তু শাওনের গ্রেফতার হওয়া দেখেছি,1,Sarcastic,banglasarc3
আমি ডানা ছারা সপ্তাহে ২দিন চাঁদে যাই পাখির ডানা আছে সেও যাইতে পারে,1,Sarcastic,banglasarc3
দুদিনের ক্ষমতা পেয়ে নৈতিকতাকে বিসর্জন দেয়া আপনার মতো মানুষের কাছ থেকে আসা করি না,0,Non-Sarcastic,banglasarc3
বাংলাদেশের লজ্জা শরমের ভ্যাকসিন টা কবে বের হবে ভাই,1,Sarcastic,banglasarc3
তোর এত সমস্যা কেন ভাই বেয়াদব ছেলে,0,Non-Sarcastic,banglasarc3
কতো কথা বলে মন তারা বুঝে না কেন,0,Non-Sarcastic,banglasarc3
কথা বলার জন্য একটা বান্ধবী চাই,1,Sarcastic,banglasarc3
নতুন ইউজার এর পাশে আছি সবসময় প্রিয় ভাই বোনদের জন্য শুভকামনা থাকবে সবসময়,1,Sarcastic,banglasarc3
এদের কি পরিবারে কেউ নাই নাকি সবাই এইরকম,0,Non-Sarcastic,banglasarc3
কোনো লাভ না হওয়া পরীক্ষা গুলার কথা মনে পড়ে গেলো,0,Non-Sarcastic,banglasarc3
ওদেরকে জনগণের জিম্মায় না ছেড়ে পরিবারের জিম্মায় ছাড়ার অধিকার কে দিলো এজন্যই তো আইনের উপর দিনদিন আস্থা উঠে যাচ্ছে,0,Non-Sarcastic,banglasarc3
ইহাও লাল যুগে দেখতে শুনতে হলো,1,Sarcastic,banglasarc3
এখন ওর নিতম্ব দিয়ে আলো দেওয়া হোক,0,Non-Sarcastic,banglasarc3
পরের সিরিজ কবে কোথায়,0,Non-Sarcastic,banglasarc3
এওকি মানুষের পক্ষে সম্ভব,0,Non-Sarcastic,banglasarc3
পড়াশুনা শেষ করতে গিয়ে ২৪ বছর নষ্ট আমিও ভাই আপনার মতো স্বাধীন হতে চাই তাই পড়াশোনা বাদ দিয়ে নিজের জন্য এখন কাজ করতেছি যেই কাজগুলা অনেক আগে করার প্রয়োজন ছিলো আপনাকে ধন্যবাদ জানাই মানুষের চিন্তাধারা পরিবর্তনে কাজ করার জন্য বাংলাদেশ একদিন তার লক্ষে পৌঁছে যাবে,0,Non-Sarcastic,banglasarc3
আমার মারাত্মক হাসি আসছিল তালা থেকে তো শব্দই শোনা যায় নাই,1,Sarcastic,banglasarc3
ওরে ছয়টা গোলাপ কোনোভাবে ভরে দেবার লাইন আছে,0,Non-Sarcastic,banglasarc3
তোমার তো তাইলে শুধু শিক্ষা সফর হবে বান্ধবী হানিমুন আর হবে না,1,Sarcastic,banglasarc3
পিংক কালারের চান্দ মামা,0,Non-Sarcastic,banglasarc3
রোগীর পরিবারের চেয়েও ডাক্তাররা বেশি চেষ্টা করেন রোগীকে বাঁচাতে,0,Non-Sarcastic,banglasarc3
আন্দোলন আর বিপ্লব ঘটিয়ে হাজারো প্রাণ আর রক্ত বিসর্জন এর মাধ্যমে যতবারই এটার একটি শাখা কাটা হচ্ছে ততবার ই আরেকটি শাখা জন্ম নিচ্ছে,0,Non-Sarcastic,banglasarc3
আপনি যাকে ভালোবাসেন ইচ্ছা করলেই তাকে হেদায়াত করতে পারবেন না,1,Sarcastic,banglasarc3
নেতানিয়াহু একটা শুয়ারের চ্ছা গাজার মানুষের জীবনকে তছনছ করে দিচ্ছে এই রক্তপিপাসু ট্রাম্পও একই যে দুনিয়াজুড়ে ধ্বংসযজ্ঞের কারিগর এদের মতো শুয়ার যতদিন থাকবে ততদিন নিরীহ মানুষের রক্ত ঝরবে,0,Non-Sarcastic,banglasarc3
পুরো ভিডিও টা দেখেছি অসাধারণ গল্প,1,Sarcastic,banglasarc3
এ কবে কবে আফার কি তাইলে ঘুম ভাঙ্গছে,1,Sarcastic,banglasarc3
ফ্লেবার গুলা ব্রাস্ট হইছিল আমার জিহ্বার ভেতর এটা কি ছিল ভাই,1,Sarcastic,banglasarc3
তার কষ্ট দেখে নিজের কষ্ট বেড়ে গেলো ভাই,1,Sarcastic,banglasarc3
কম দামে এতো বেশি রেম,0,Non-Sarcastic,banglasarc3
নব্বই দশকের ক্রিকেটার সানোয়ার এক ম্যাচের জন্য কাউন্টিতে লারার দলে খেলতে গেসিলো ম্যাচের পরদিন বাংলাদেশের সব পত্রিকায় নিউজ লারাকে টপকে গেলেন সানোয়ার,0,Non-Sarcastic,banglasarc3
জায়দে তুই কেডা রে কবে অাসছোস বাংলা চলচিএে জীবন তো নাম তো দুরে থাক তোর একটা ছবি নামও শুনি নাই হাহাহা অাবাল চোদা ৯৬ পর অার কোন বাংলা ছবি দেখি নি শালমান শাহ মারা যাবার পর যাইহোক জনাব জায়েদ যতই বড় বড় কথা বলেন অাপনারাও হিরো অালমের জনপ্রিয়তার ধারে কাছে ও নাই,0,Non-Sarcastic,banglasarc3
যাত্রী এক জায়গায় উঠাবে যাতে আরেক জায়গায় নামাবে তাহলে খুব ভালো হবে কোন যানজট হবে না,0,Non-Sarcastic,banglasarc3
বিএনপি যেহেতু তাদের দল সামাল দিতে ব্যর্থ আমরা বাংলাদেশের জনগণ সিদ্ধান্ত নিয়েছি এবার বিএনপিকে ভোট দেবো না এবং এটাই চুড়ান্ত,0,Non-Sarcastic,banglasarc3
বুথের সিকিউরিটি গার্ডরাও এরচেয়ে স্মার্ট কালারের পোশাক পড়ে,1,Sarcastic,banglasarc3
বিভিন্ন কলেজে অনার্সে যারা ভর্তি হয়েছে তাদেরও বিশ্ববিদ্যালয় পড়ার শখ আছে সব কলেজ গুলোকে বিশ্ববিদ্যালয় ঘোষণা করা হোক,1,Sarcastic,banglasarc3
ধানমন্ডি ৩২ মুলত হিন্দুদের সম্পত্তি ছিলো সেটা মুসলিমরা দখল করে ধারণা করা হয় ওখানে ৩শ বছরের পুরনো একটি মন্দির ছিলো এখন সেখানে একটা মন্দির বানানো হোক সনাতনী ভাইয়েরা আপনারা আপনাদের সম্পত্তি বুঝে নেন,1,Sarcastic,banglasarc3
তুমি না থাকায় আমি হতাশায় ভুগেছি তবুও চরিত্রহীন হইনি,0,Non-Sarcastic,banglasarc3
যারা বেকার তাদের দ্বারাই ট্রল করা সম্ভব এইখানে তো খারাপ কাজ কিছু করছে না যার লাগবে সে কিনবে যার লাগবে না সে কিনবে না হাসার কি আছে এখানে,0,Non-Sarcastic,banglasarc3
ঢাকার সাথে একটা বিরাট ফাডাফাডি হবে ৭ নাম্বার পজিশন নিয়া,1,Sarcastic,banglasarc3
এই সব গান্জা মার্কা সাংবাদিক না থাকলে আমরা কোনো বিনোদন এই পাইতাম না,0,Non-Sarcastic,banglasarc3
বুড়া বয়সে সবারই মাথা গরম থাকে,1,Sarcastic,banglasarc3
পড়াশুনাটা আসলে করা দরকার আমার এরকম মাঝে মাঝে এক দুই সেকেন্ড এর জন্য মনে হয়,1,Sarcastic,banglasarc3
আপনাকে দেখে ঘুরে বেরাবার ইচ্ছা তীব্র থেকে তীব্রতর হচ্ছে কিন্তু ওই যে মেয়ে মানুষ বিয়ে ছাড়া ঘুরতে যাবার ইচ্ছাই প্রকাশ করতে পারবে না সেই জোনে আছি এই ভাবেই ঘুরেন আর ইচ্ছা পূরণ করেন শুভ কামনা,0,Non-Sarcastic,banglasarc3
ক্যাম্পাসে যে মামা বা খালা রান্না করে উনাদের ওভাবে সম্মোধন করে ডাইকেন মাংস না দিক ঝোল এটলিস্ট পাবেন রান্নার টেস্ট যাচাই করার জন্য,0,Non-Sarcastic,banglasarc3
হাসিনার কথায় হাসি ছাড়া কিছু আসে না,1,Sarcastic,banglasarc3
চলো যাই মিশন অফ নোহাশ পল্লী,1,Sarcastic,banglasarc3
মাত্র এই কয়টা,1,Sarcastic,banglasarc3
বাপের বেটা হিরো আলম ঐ শালা জায়েদ কে কে চেনে ফকিন্নি,0,Non-Sarcastic,banglasarc3
হারাম এর দিকে মানুষের বেশী পজিটিভ চিন্তাভাবনা কাজ করে বিয়ে হচ্ছে হালাল বিয়ে ঠিক করে আপনি সময় নেন পরিচিত হওয়ার জন্য কথা বলুন তাহলেই ত হয় বয়ফ্রেন্ড এর সঙ্গে রাতের পর রাত কথা বলে ভবিষ্যত পরিকল্পনা এমনকি বাচ্চার নামও নাকি রেখে দেয় তখন লজ্জা কোথায় থাকে আসলে কিছু মানুসের মস্তিষ্কে সহজে ভালো কিছু হজম করতে পারে না,0,Non-Sarcastic,banglasarc3
এমন শাশন পায় নি বলে আজ আমি খারাপ,1,Sarcastic,banglasarc3
আমার খুব পছন্দের হাস্সোজ্বল মানুষ একজন,1,Sarcastic,banglasarc3
আল্লাহ ওনার ব্যবসায় এমনিই বরকত দান করবে,0,Non-Sarcastic,banglasarc3
লুডু খেলা কোন মতে বাদ দেওয়া যাবে না,1,Sarcastic,banglasarc3
জামাত ধ্বংস করলো ধর্ম ইউনুস ধ্বংস করলো দেশ শিক্ষা ধ্বংস করলো সমন্বয়করা,1,Sarcastic,banglasarc3
